שם ישוב,סמל ישוב,בוחרים,מצביעים,כשרים,פסולים,Arabs,Left,Right,Center,Orthodox
אבו ג'ווייעד,967,886,728,711,17,629,57,7,1,4
אבו גוש,472,2243,1552,1463,89,736,605,62,3,44
אבו סנאן,473,4925,3961,3824,137,2204,1024,474,21,48
אבו עבדון,958,164,93,89,4,63,21,1,0,3
אבו עמאר,1042,126,108,102,6,65,11,2,0,0
אבו קורינאת,968,1498,624,609,15,385,145,10,0,3
אבו רובייעה,966,1948,868,821,47,431,260,47,3,10
אבו רוקייק,961,2479,1385,1302,83,1107,108,10,1,19
אבטין,652,911,732,704,28,404,148,19,1,49
אבטליון,1275,76,70,70,0,0,47,12,11,0
אביאל,679,235,193,192,1,0,41,123,14,10
אביבים,1115,250,203,200,3,0,12,144,2,40
אביגדור,819,321,276,272,4,0,195,53,18,3
אביחיל,175,701,566,563,3,1,421,106,27,6
אביטל,2052,293,247,245,2,0,15,207,7,16
אביעזר,1070,260,229,220,9,4,33,127,18,34
אבן יהודה,182,5055,4136,4079,57,6,2005,1585,253,192
אבן יצחק )גלעד(,369,291,222,216,6,0,200,8,8,0
אבן מנחם,1081,216,190,187,3,0,57,81,4,44
אבן ספיר,783,397,315,307,8,0,106,160,17,23
אבן שמואל,400,210,197,196,1,0,2,153,0,41
אבני איתן,4011,99,90,89,1,0,2,84,3,0
אבני חפץ,3793,121,120,120,0,0,0,112,0,8
אדורה,3759,153,120,117,3,0,12,93,9,1
אדירים,113,230,197,193,4,0,8,73,3,109
אדמית,1068,162,81,81,0,0,71,8,1,1
אדרת,1123,259,220,214,6,0,7,136,2,69
אודים,446,386,314,309,5,1,200,88,12,5
אודם,4010,49,42,42,0,0,5,14,20,3
אוהד,1046,179,129,126,3,0,40,71,8,6
אום אל-קוטוף,2024,328,281,272,9,172,88,10,0,0
אומן,1108,142,118,113,5,0,13,24,66,2
אומץ,680,227,191,189,2,0,133,40,11,5
אופקים,31,13826,10247,9909,338,31,1413,3359,1397,3197
אור הנר,67,301,222,222,0,0,213,1,8,0
אור יהודה,2400,17130,12659,12202,457,42,2216,5530,391,3722
אור עקיבא,1020,10698,8000,7705,295,17,859,3398,1516,1666
אורה,780,334,263,254,9,1,74,132,24,21
אורות,2012,252,186,186,0,0,124,41,19,2
אורטל,4013,132,104,104,0,0,29,6,69,0
אורים,403,429,324,323,1,0,294,12,15,0
אורנית,3760,2230,1896,1881,15,1,531,1157,133,46
אושה,278,301,224,217,7,2,193,5,15,0
אזור,565,6669,5082,4935,147,3,1925,2007,457,458
אחווה,1157,119,101,98,3,0,64,21,9,1
אחוזם,821,277,235,233,2,0,8,148,0,68
אחיהוד,785,378,328,326,2,0,1,218,39,66
אחיטוב,850,430,358,353,5,0,152,162,15,24
אחיסמך,804,507,445,425,20,8,69,263,1,83
אחיעזר,797,598,550,540,10,0,8,367,2,160
אטרש,965,592,325,320,5,257,55,2,2,0
איבים,338,254,69,67,2,0,28,13,22,0
אייל,716,214,181,181,0,0,161,17,2,0
איילת השחר,77,646,517,511,6,1,458,22,26,1
אילון,294,540,454,452,2,1,439,6,5,1
אילות,1126,258,158,157,1,0,119,27,9,1
אילניה,49,270,201,200,1,0,86,91,12,3
אילת,2600,33093,18709,18329,380,111,7288,6678,1313,2620
איתמר,3762,113,107,107,0,0,0,95,2,10
איתן,37,261,228,228,0,0,1,139,0,87
אכסאל,478,4470,3581,3444,137,2837,489,66,0,26
אל-רום,4003,250,172,169,3,0,97,20,48,0
אלומה,1145,160,149,148,1,0,0,2,0,141
אלומות,330,168,120,119,1,0,106,4,8,1
אלון הגליל,1182,275,249,249,0,0,201,32,16,0
אלון מורה,3579,501,442,441,1,0,5,400,23,7
אלון שבות,3604,1065,924,923,1,0,14,829,64,12
אלוני אבא,429,139,122,122,0,0,98,6,16,0
אלוני יצחק,868,130,41,41,0,0,24,12,5,0
אלונים,285,463,379,379,0,0,339,9,28,0
אלי סיני,5428,157,123,122,1,0,25,80,8,8
אלי על,4002,116,98,98,0,0,27,21,47,0
אליכין,41,1449,1277,1252,25,0,221,665,145,214
אליפלט,730,284,221,219,2,0,33,129,2,51
אליקים,682,364,308,304,4,0,7,159,25,106
אלישיב,204,313,261,260,1,0,39,177,35,8
אלישמע,841,355,305,301,4,0,59,188,9,44
אלמגור,1125,198,168,167,1,0,132,14,19,0
אלמוג,3556,56,55,55,0,1,40,9,4,1
אלעזר,3618,220,183,183,0,0,2,169,4,8
אלפי מנשה,3750,2545,2113,2096,17,1,478,1393,158,51
אלקוש,603,266,225,224,1,2,74,98,6,43
אלקנה,3560,1625,1423,1417,6,0,8,1361,27,21
אם אל-גנם,476,599,535,531,4,245,239,9,0,1
אם אל-פחם,2710,16830,12659,12316,343,10612,1467,49,13,66
אמונים,772,548,443,438,5,0,162,225,23,27
אמירים,1064,288,216,212,4,2,136,45,14,11
אמנון,1253,145,118,117,1,0,45,41,22,7
אמציה,23,94,69,69,0,0,13,49,4,2
אניעם,4012,114,84,84,0,0,45,17,22,0
אסד,960,522,300,282,18,164,73,16,1,1
אספר,3754,91,70,69,1,0,1,0,0,67
אעבלין,529,4831,4560,4509,51,3307,808,315,3,18
אעצם,963,1750,1002,937,65,766,92,10,11,13
אפיק,4301,206,149,149,0,0,82,17,43,1
אפיקים,176,1075,866,856,10,2,789,30,27,3
אפעל-בית אבות,2032,836,611,576,35,2,464,86,7,3
אפק,313,383,307,301,6,0,271,11,16,0
אפרתה,3650,2548,2238,2231,7,1,34,1943,188,57
ארבל,701,222,178,175,3,0,106,45,15,5
ארגמן,3598,79,68,68,0,0,11,45,3,2
ארז,714,273,217,217,0,0,189,13,15,0
אריאל,3570,8805,7145,7056,89,3,894,4931,697,402
אשבול,71,224,193,189,4,0,107,58,3,19
אשדוד,70,96445,71405,69662,1743,122,13780,22582,13976,15328
אשדות יעקב)איחוד(,199,401,329,325,4,0,292,15,14,0
אשדות יעקב)מאוחד(,188,374,263,261,2,0,230,7,18,1
אשחר,1188,144,121,121,0,2,36,48,28,1
אשל הנשיא,2021,111,84,84,0,0,58,18,7,1
אשקלון,7100,62317,45521,44257,1264,91,9220,18892,8358,5679
אשרת,1256,265,209,207,2,0,35,102,64,5
אשתאול,740,313,264,260,4,1,20,104,18,116
אתגר,1298,149,105,104,1,0,20,7,72,2
באקה אל-גרביה,6000,9219,6743,6559,184,5091,1301,36,5,41
באר טוביה,155,540,449,446,3,3,332,56,48,1
באר יעקב,2530,4035,3199,3137,62,13,870,1327,217,605
באר שבע,9000,111874,79807,77364,2443,292,20604,30633,12239,10969
בארות יצחק,450,405,285,282,3,0,46,210,21,3
בארותיים,697,333,263,259,4,0,141,100,13,2
בארי,399,612,508,504,4,0,473,12,13,0
בדולח,5432,81,74,73,1,0,0,66,0,7
בוסתן הגליל,559,318,250,246,4,0,168,60,11,3
בועיינה-נוג'ידאת,482,2682,2323,2297,26,953,1182,47,0,0
בוקעאתה,4001,207,52,51,1,0,21,23,2,5
בורגתה,698,395,328,323,5,0,199,90,24,7
בחן,2043,293,216,215,1,1,180,22,10,1
בטחה,762,423,354,349,5,1,29,217,4,98
ביידה,934,147,102,101,1,54,40,3,0,3
ביצרון,234,438,379,373,6,2,245,93,24,3
ביר אל-מכסור,998,2998,1956,1892,64,783,799,93,15,26
ביריה,368,376,310,307,3,0,73,140,5,88
בית אורן,317,204,123,121,2,0,91,21,8,0
בית אל,3574,763,695,691,4,0,1,666,7,10
בית אל ב',3714,825,785,784,1,0,5,741,10,26
בית אלעזרי,562,493,399,394,5,3,186,161,36,4
בית אלפא,95,594,475,472,3,0,454,6,9,0
בית אריה,3652,1215,1080,1065,15,0,127,857,56,20
בית ג'ן,480,4460,3646,3572,74,462,1598,1082,285,122
בית גוברין,619,165,139,137,2,0,117,6,11,0
בית גמליאל,571,336,277,276,1,3,11,246,4,12
בית דגן,466,2020,1800,1763,37,4,196,1078,88,367
בית הגדי,723,344,285,280,5,0,10,224,3,42
בית הלוי,373,287,238,235,3,2,177,33,20,3
בית הלל,322,301,239,238,1,1,178,36,17,2
בית העמק,572,384,278,273,5,1,254,12,6,0
בית השיטה,242,921,730,722,8,3,647,44,22,2
בית זית,710,668,535,528,7,2,346,129,40,7
בית זרע,143,576,446,441,5,1,414,7,11,2
בית חורון,3575,316,286,285,1,0,8,262,8,5
בית חלקיה,2033,254,232,230,2,0,3,49,1,175
בית חנן,159,390,315,313,2,1,253,44,11,1
בית חנניה,800,227,197,191,6,0,131,52,6,1
בית חרות,877,305,258,257,1,1,228,19,8,0
בית חשמונאי,1050,561,427,419,8,1,104,164,126,18
בית יהושע,288,332,264,261,3,0,143,96,13,6
בית יוסף,265,245,205,202,3,0,25,92,1,83
בית ינאי,200,254,179,179,0,2,142,20,11,2
בית יצחק-שער חפר,326,1203,985,974,11,1,726,178,59,4
בית לחם הגלילית,430,321,264,259,5,0,175,59,17,0
בית מאיר,751,283,247,247,0,0,15,196,8,25
בית נחמיה,784,310,261,258,3,1,96,130,11,17
בית ניר,16,228,171,170,1,1,154,8,6,0
בית נקופה,672,253,195,194,1,9,84,83,6,7
בית עובד,202,242,208,205,3,0,169,25,8,2
בית עוזיאל,301,248,189,189,0,0,34,119,5,28
בית עזרא,756,434,378,373,5,0,195,145,7,26
בית עריף,604,418,352,348,4,0,13,219,67,46
בית קמה,598,299,198,195,3,4,173,9,9,0
בית קשת,365,260,188,183,5,1,170,7,3,1
בית רבן,848,143,89,89,0,0,3,69,2,15
בית רימון,1162,71,65,65,0,0,18,43,2,2
בית שאן,9200,10150,7782,7622,160,7,1015,4050,386,2032
בית שמש,2610,15393,12243,11994,249,21,1779,5247,1359,3323
בית שערים,248,294,233,231,2,0,165,53,11,0
בית שקמה,747,340,253,253,0,0,18,181,5,37
ביתן אהרן,252,382,295,294,1,1,188,76,21,5
ביתר עילית,3780,2597,2439,2427,12,0,3,296,7,2073
בלפוריה,94,199,175,174,1,0,111,34,25,2
בן זכאי,760,357,305,301,4,0,16,224,2,56
בן עמי,712,275,224,222,2,1,131,74,13,0
בן שמן )כפר נוער(,1084,285,205,202,3,1,151,37,8,4
