שם ישוב,סמל ישוב,ב ז ב,מצביעים ,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
אבו ג'ווייעד,967,961,335,27,308,244,20,8,3,5
אבו גוש,472,2539,1778,74,1704,647,574,25,177,233
אבו סנאן,473,5467,4673,151,4522,2736,484,210,677,357
אבו עבדון,958,150,68,0,68,33,26,3,0,2
אבו קורינאת,968,1559,703,24,679,564,51,11,6,13
אבו רובייעה,966,2161,1049,61,988,547,188,47,22,56
אבו רוקייק,961,2567,1250,71,1179,973,132,9,8,11
אבטין,652,999,781,38,743,597,35,2,35,67
אבטליון,1275,130,121,1,120,0,74,9,23,2
אביאל,679,255,213,6,207,1,48,91,38,15
אביבים,1115,281,221,7,214,0,5,39,2,165
אביגדור,819,355,298,4,294,0,208,26,48,2
אביחיל,175,731,611,9,602,2,429,57,81,5
אביטל,2052,324,267,5,262,0,17,154,31,50
אביעזר,1070,289,250,5,245,0,47,111,28,50
אבן יהודה,182,5554,4610,53,4557,4,2125,1027,796,390
אבן יצחק,369,319,239,3,236,3,199,4,22,0
אבן מנחם,1081,213,187,6,181,0,80,37,7,50
אבן ספיר,783,385,328,5,323,1,96,96,82,37
אבן שמואל,400,236,211,0,211,0,1,145,4,60
אבני איתן,4011,141,115,0,115,1,5,92,10,5
אבני חפץ,3793,254,238,0,238,0,1,174,0,62
אדורה,3759,167,139,1,138,0,22,68,33,7
אדירים,113,206,182,1,181,0,9,30,0,140
אדמית,1068,184,102,1,101,1,71,3,11,11
אדרת,1123,293,244,4,240,0,12,63,7,155
אודים,446,376,323,6,317,0,180,46,59,6
אוהד,1046,186,145,0,145,0,50,56,18,13
אום אל-ג'נם,476,602,443,13,430,230,126,1,14,49
אום אל-פחם,2710,18856,14057,302,13755,12484,616,43,79,393
אום אל-קוטוף,2024,374,304,3,301,166,107,1,1,26
אומן,1108,200,168,1,167,0,23,41,78,17
אומץ,680,260,220,7,213,0,137,16,36,6
אופקים,31,14680,10957,297,10660,25,1386,2397,1844,4408
אור הנר,67,294,247,4,243,0,222,4,9,0
אור יהודה,2400,19283,14267,378,13889,37,2553,4171,1519,4627
אור עקיבא,1020,11861,8308,238,8070,26,981,2845,1911,1778
אורה,780,388,317,10,307,1,76,98,40,78
אורות,2012,284,212,3,209,0,155,25,22,1
אורטל,4013,131,109,0,109,0,36,3,67,0
אורים,403,432,318,1,317,4,276,7,16,2
אורנית,3760,2675,2281,9,2272,2,678,931,466,89
אושה,278,310,252,4,248,1,213,3,13,0
אזור,565,7269,5567,124,5443,7,1806,1482,1044,792
אחווה,1157,138,119,5,114,1,75,15,19,2
אחוזם,821,301,246,3,243,0,3,113,0,125
אחוזת ברק,1330,134,117,1,116,0,43,36,21,9
אחיהוד,785,389,347,3,344,0,1,120,42,177
אחיטוב,850,498,408,4,404,1,171,96,91,30
אחיסמך,804,563,495,7,488,0,68,152,15,248
אחיעזר,797,611,558,10,548,0,13,236,9,289
אטרש,965,714,329,25,304,162,107,6,6,5
איבים,338,331,114,6,108,0,22,22,53,1
אייל,716,233,198,0,198,3,166,10,14,0
איילת השחר,77,655,538,2,536,1,449,17,35,3
אילון,294,528,445,5,440,5,407,2,15,2
אילות,1126,235,165,0,165,0,123,11,13,1
אילניה,49,314,247,1,246,0,82,75,67,4
אילת,2600,36198,21034,299,20735,129,6686,4940,3975,3040
איתמר,3762,155,144,0,144,0,1,111,2,29
איתן,37,254,221,1,220,0,4,65,7,140
אכסאל,478,4978,3560,96,3464,2606,603,52,63,87
אל-רום,4003,316,216,2,214,0,107,19,72,4
אלומה,1145,181,167,1,166,0,0,3,0,163
אלומות,330,158,118,2,116,1,100,4,5,3
אלון הגליל,1182,353,316,1,315,1,242,15,50,1
אלון מורה,3579,543,464,10,454,0,2,371,9,69
אלון שבות,3604,1138,969,4,965,0,40,828,43,33
אלוני אבא,429,150,124,3,121,0,94,2,18,2
אלוני יצחק,868,127,39,1,38,0,18,7,12,0
אלונים,285,462,375,2,373,0,330,8,19,2
אלי סיני,5428,214,176,1,175,0,34,81,26,23
אלי-עד,4002,144,113,0,113,0,37,15,52,0
אליכין,41,1550,1348,22,1326,1,230,511,182,361
אליפלט,730,299,239,3,236,0,34,88,6,99
אליקים,682,375,330,3,327,0,6,72,121,127
אלישיב,204,312,265,3,262,0,29,112,68,48
אלישמע,841,403,345,10,335,1,70,136,24,77
אלמגור,1125,218,174,0,174,0,129,11,21,0
אלמוג,3556,77,64,3,61,1,44,5,8,0
אלעד,1309,304,246,1,245,1,1,34,1,204
אלעזר,3618,386,344,3,341,0,4,303,5,25
אלפי מנשה,3750,2977,2432,18,2414,1,549,1016,588,94
אלקוש,603,295,243,6,237,7,61,60,28,66
אלקנה,3560,1921,1693,8,1685,1,27,1497,46,84
אמונים,772,512,416,4,412,0,128,133,75,50
אמירים,1064,319,249,2,247,2,140,31,30,7
אמנון,1253,177,137,1,136,0,35,31,39,21
אמציה,23,90,69,0,69,0,14,30,15,3
אניעם,4012,160,133,1,132,0,50,22,52,1
אסד,960,502,259,13,246,91,127,6,1,12
אספר,3754,124,101,2,99,0,0,0,0,99
אעבלין,529,5323,4208,76,4132,3164,408,349,67,75
אעצם,963,1968,1123,35,1088,1000,35,5,5,11
אפיק,4301,196,149,1,148,2,84,11,42,0
אפיקים,176,1025,820,10,810,1,719,14,54,2
אפעל-בית אבות,2032,794,603,33,570,1,430,52,30,1
אפק,313,395,327,7,320,0,277,1,30,1
אפרתה,3650,3028,2581,12,2569,0,129,2102,101,197
ארבל,701,244,192,6,186,0,105,37,21,12
ארגמן,3598,93,71,0,71,0,8,37,19,3
ארז,714,281,218,1,217,0,178,7,26,1
אריאל,3570,10000,7881,119,7762,3,580,4979,1248,618
אשבול,71,210,180,1,179,0,69,38,23,46
אשדוד,70,115848,86938,2204,84734,158,16329,22010,17223,25332
אשדות יעקב איחוד,199,433,327,2,325,0,290,6,20,3
אשדות יעקב מאוחד,188,372,284,2,282,0,235,4,19,6
אשחר,1188,177,146,0,146,1,60,42,22,7
אשל הנשיא,2021,102,83,0,83,0,48,7,23,3
אשקלון,7100,70403,51596,1297,50299,110,9869,14944,10641,11911
אשרת,1256,252,187,0,187,0,25,63,60,26
אשתאול,740,338,302,1,301,0,21,86,41,148
באקה אל-גרביה,6000,10249,4659,82,4577,3588,738,15,124,49
באר טוביה,155,533,468,3,465,1,357,23,61,4
באר יעקב,2530,4250,3238,56,3182,9,857,914,465,808
באר שבע,9000,123297,87626,2282,85344,346,18380,20566,18990,20836
בארות יצחק,450,369,271,2,269,0,80,143,23,5
בארותיים,697,346,273,4,269,1,138,53,52,9
בארי,399,624,528,2,526,2,491,5,11,1
בוסתן הגליל,559,330,264,3,261,1,172,38,31,6
בועיינה-נוג'ידאת,482,3133,2338,74,2264,1024,896,67,77,184
בוקעאתא,4001,279,54,0,54,0,12,20,13,8
בורגתה,698,500,403,9,394,1,252,49,58,10
בחן,2043,276,207,1,206,0,151,13,23,0
בטחה,762,428,355,6,349,0,21,160,21,140
ביצרון,234,478,415,6,409,2,278,50,56,7
ביר אל-מכסור,998,3326,2298,69,2229,1138,566,161,167,145
