שם ישוב,סמל ישוב,בוחרים , מצביעים,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
אבו ג'ווייעד )שבט,967,998.0,247.0,12.0,235.0,192.0,25.0,3.0,1.0,1.0
אבו גוש,472,2868.0,1632.0,68.0,1564.0,943.0,144.0,59.0,198.0,198.0
אבו סנאן,473,6119.0,4488.0,116.0,4372.0,2728.0,935.0,284.0,23.0,377.0
אבו עבדון )שבט(,958,121.0,35.0,0.0,35.0,26.0,6.0,2.0,0.0,1.0
אבו קורינאת )שבט(,968,1731.0,505.0,17.0,488.0,321.0,115.0,15.0,2.0,6.0
אבו רובייעה )שבט(,966,2215.0,900.0,38.0,862.0,452.0,191.0,81.0,11.0,85.0
אבו רוקייק )שבט(,961,2913.0,922.0,25.0,897.0,632.0,191.0,12.0,6.0,6.0
אבטין,652,1109.0,582.0,25.0,557.0,429.0,50.0,9.0,27.0,12.0
אבטליון,1275,134.0,113.0,2.0,111.0,0.0,58.0,22.0,25.0,0.0
אביאל,679,286.0,211.0,2.0,209.0,0.0,32.0,129.0,28.0,8.0
אביבים,1115,300.0,187.0,2.0,185.0,0.0,2.0,95.0,0.0,82.0
אביגדור,819,427.0,342.0,4.0,338.0,0.0,177.0,66.0,82.0,0.0
אביחיל,175,782.0,594.0,2.0,592.0,1.0,322.0,124.0,116.0,4.0
אביטל,2052,366.0,283.0,1.0,282.0,0.0,32.0,192.0,1.0,18.0
אביעזר,1070,316.0,219.0,1.0,218.0,0.0,36.0,136.0,17.0,21.0
אבירים,1220,91.0,74.0,0.0,74.0,4.0,43.0,10.0,9.0,0.0
אבן יהודה,182,6097.0,4495.0,31.0,4464.0,6.0,1618.0,1635.0,806.0,236.0
אבן מנחם,1081,223.0,160.0,2.0,158.0,0.0,61.0,74.0,1.0,20.0
אבן ספיר,783,401.0,284.0,2.0,282.0,1.0,50.0,178.0,22.0,17.0
אבן שמואל,400,269.0,235.0,1.0,234.0,0.0,6.0,149.0,4.0,68.0
אבני איתן,4011,209.0,153.0,0.0,153.0,0.0,6.0,132.0,0.0,3.0
אבני חפץ,3793,327.0,288.0,4.0,284.0,0.0,1.0,205.0,0.0,62.0
אבשלום,1311,104.0,71.0,4.0,67.0,0.0,2.0,31.0,27.0,3.0
אדורה,3759,137.0,78.0,0.0,78.0,0.0,8.0,53.0,12.0,2.0
אדירים,113,208.0,166.0,1.0,165.0,0.0,13.0,59.0,2.0,90.0
אדמית,1068,210.0,102.0,3.0,99.0,1.0,67.0,10.0,16.0,2.0
אדרת,1123,335.0,256.0,3.0,253.0,0.0,8.0,182.0,8.0,48.0
אודים,446,458.0,350.0,2.0,348.0,0.0,162.0,97.0,74.0,4.0
אודם,4010,64.0,30.0,0.0,30.0,0.0,5.0,15.0,8.0,1.0
אוהד,1046,206.0,145.0,1.0,144.0,0.0,34.0,89.0,8.0,5.0
אום אל-פחם,2710,20925.0,12601.0,239.0,12362.0,3587.0,519.0,26.0,5.0,118.0
אום אל-קוטוף,2024,434.0,294.0,10.0,284.0,158.0,91.0,7.0,0.0,12.0
אומן,1108,236.0,159.0,3.0,156.0,0.0,14.0,82.0,44.0,15.0
אומץ,680,275.0,190.0,1.0,189.0,0.0,96.0,45.0,39.0,3.0
אופקים,31,15407.0,9866.0,192.0,9674.0,20.0,1161.0,4146.0,904.0,3189.0
אור הגנוז,1294,110.0,73.0,4.0,69.0,0.0,0.0,4.0,0.0,63.0
אור הנר,67,290.0,216.0,0.0,216.0,0.0,166.0,5.0,11.0,0.0
