שם ישוב,סמל ישוב,בעלי זכות בחירה,מצביעים,כשרים,פסולים,Arabs,Left,Right,Center,Orthodox
אבו ג'ווייעד (שבט,967,1042,103,100,3,63,10,7,6,4
אבו גוש,472,3130,1693,1591,102,1164,154,22,154,65
אבו סנאן,473,6554,4751,4645,106,3036,556,67,529,390
אבו קורינאת (שבט),968,1869,554,539,15,380,116,5,25,6
אבו רובייעה (שבט),966,2252,460,442,18,315,67,9,18,6
אבו רוקייק (שבט),961,3263,801,782,19,596,107,7,35,10
אבטין,652,1217,640,620,20,495,108,5,7,1
אבטליון,1275,148,113,112,1,0,62,12,29,0
אביאל,679,357,250,249,1,2,72,55,85,7
אביבים,1115,305,181,165,16,0,50,31,11,73
אביגדור,819,495,379,377,2,0,184,32,138,0
אביחיל,175,829,606,601,5,2,276,48,232,7
אביטל,2052,369,244,240,4,1,31,135,49,17
אביעזר,1070,325,215,211,4,0,57,69,42,29
אבירים,1220,116,86,86,0,1,44,9,18,0
אבן יהודה,182,6854,4806,4760,46,6,1670,794,1685,280
אבן מנחם,1081,225,192,190,2,0,144,10,16,16
אבן ספיר,783,432,303,301,2,1,77,89,94,29
אבן שמואל,400,304,253,252,1,0,4,180,6,60
אבני איתן,4011,230,184,184,0,0,6,162,3,4
אבני חפץ,3793,421,376,374,2,2,1,287,10,71
אבשלום,1311,131,80,73,7,0,6,42,19,1
אדורה,3759,133,74,73,1,1,10,39,21,1
אדירים,113,202,153,151,2,0,11,67,4,68
אדמית,1068,201,76,76,0,3,50,5,16,0
אדרת,1123,350,232,228,4,0,26,128,8,53
אודים,446,533,411,410,1,0,156,54,157,5
אודם,4010,74,46,46,0,0,16,5,20,0
אוהד,1046,210,140,140,0,0,60,40,29,6
אום אל-פחם,2710,22666,12584,12296,288,11084,745,33,173,104
אום אל-קוטוף,2024,469,229,226,3,141,75,3,3,0
אום בטין,1358,173,117,114,3,54,48,3,0,3
אומן,1108,267,136,133,3,0,14,74,26,13
אומץ,680,306,221,219,2,0,99,18,85,4
אופקים,31,16637,9521,9361,160,14,1812,3180,867,3329
אור הגנוז,1294,134,68,68,0,0,1,0,0,67
אור הנר,67,372,254,250,4,0,203,4,38,0
אור יהודה,2400,23136,12982,12737,245,30,2740,3140,2889,3338
אור עקיבא,1020,13399,6633,6510,123,11,696,3103,1440,1062
אורה,780,548,362,358,4,0,77,109,99,51
אורות,2012,304,209,209,0,0,109,19,63,0
אורטל,4013,163,119,118,1,0,59,16,25,0
אורים,403,419,241,237,4,1,150,8,63,0
אורנית,3760,3658,2676,2658,18,2,721,816,884,75
אושה,278,319,204,202,2,0,123,4,54,0
אזור,565,8190,5035,4945,90,4,1497,1302,1390,522
אחווה,1157,169,140,138,2,0,82,17,33,1
אחוזם,821,322,220,216,4,0,8,130,18,60
אחוזת ברק,1330,718,510,504,6,0,174,90,206,14
אחיהוד,785,435,312,309,3,0,40,160,18,90
אחיטוב,850,552,337,335,2,0,99,47,158,17
אחיסמך,804,685,361,360,1,0,71,110,23,154
אחיעזר,797,791,596,587,9,0,22,273,8,281
אטרש (שבט),965,1052,213,206,7,147,33,4,6,2
איבים,338,224,69,66,3,0,12,22,17,0
אייל,716,280,243,240,3,0,149,22,52,4
איילת השחר,77,757,528,524,4,2,265,31,138,10
אילון,294,590,436,432,4,0,315,20,67,2
אילות,1126,252,157,155,2,1,100,11,23,3
אילניה,49,367,232,231,1,0,66,57,79,13
אילת,2600,43001,16260,15982,278,46,4994,3508,5038,1546
איתמר,3762,297,227,226,1,0,0,200,0,22
איתן,37,264,178,177,1,0,12,63,4,97
אכסאל,478,6136,2376,2281,95,2009,136,7,44,20
אל-רום,4003,235,158,156,2,2,76,9,52,2
אלומה,1145,213,144,142,2,0,0,3,0,136
אלומות,330,224,134,132,2,0,93,2,26,1
אלון הגליל,1182,493,390,389,1,0,214,21,121,0
אלון מורה,3579,724,568,565,3,1,5,520,3,34
אלון שבות,3604,1779,1513,1504,9,1,22,1381,22,26
אלוני אבא,429,251,196,196,0,0,115,13,53,2
אלוני הבשן,4017,101,86,86,0,0,1,79,0,5
אלוני יצחק,868,125,22,22,0,0,7,5,7,1
אלונים,285,482,340,340,0,3,228,10,51,1
אלי-עד,4002,213,127,120,7,0,30,25,40,1
אליכין,41,1890,1299,1280,19,0,234,390,182,449
אליפלט,730,362,206,205,1,0,40,96,25,44
אליקים,682,444,333,331,2,0,16,54,17,237
אלישיב,204,358,274,272,2,0,31,77,52,95
אלישמע,841,598,401,400,1,1,93,77,138,77
אלמגור,1125,229,174,173,1,0,95,12,44,0
אלמוג,3556,91,63,63,0,0,31,6,20,1
אלעד,1309,11332,9699,9637,62,0,63,1340,28,8195
אלעזר,3618,613,513,511,2,0,11,476,5,12
אלפי מנשה,3750,4043,2780,2758,22,0,695,887,872,77
אלקוש,603,248,155,154,1,0,54,34,32,31
אלקנה,3560,2144,1799,1795,4,1,28,1647,25,60
אמונים,772,577,396,395,1,1,114,74,147,38
אמירים,1064,385,257,255,2,3,120,21,71,9
אמנון,1253,209,128,127,1,0,57,32,25,11
אמציה,23,118,76,76,0,0,29,16,26,0
אניעם,4012,236,159,158,1,0,51,31,47,3
אסד (שבט),960,435,102,97,5,73,8,0,12,0
אספר,3754,151,104,103,1,0,1,37,0,63
אעבלין,529,6336,3855,3779,76,2939,564,32,57,155
אעצם (שבט),963,2659,782,761,21,600,72,9,11,28
אפיק,4301,229,147,145,2,0,80,16,40,1
אפיקים,176,1000,682,678,4,0,527,19,86,1
אפק,313,390,272,269,3,1,197,2,57,0
אפרתה,3650,4337,3467,3456,11,3,104,3072,63,126
ארבל,701,273,186,184,2,0,66,15,68,17
ארגמן,3598,131,80,80,0,0,13,18,37,3
ארז,714,317,224,222,2,0,166,5,38,1
אריאל,3570,12754,7553,7387,166,10,709,5100,929,345
אשבול,71,214,155,153,2,0,75,25,31,20
אשדוד,70,149417,86978,85164,1814,115,12456,29657,16858,22465
אשדות יעקב  (איחו,199,437,294,292,2,0,171,20,83,2
אשדות יעקב  (מאוח,188,382,238,236,2,0,147,14,46,6
אשחר,1188,275,206,205,1,0,88,58,40,4
אשכולות,3722,119,80,80,0,0,21,30,21,6
אשל הנשיא,2021,99,68,66,2,0,36,10,19,1
אשלים,1152,176,105,104,1,0,57,16,21,5
אשקלון,7100,85207,45070,44080,990,77,7176,18908,8807,7346
אשרת,1256,312,217,215,2,0,44,72,77,10
אשתאול,740,494,348,341,7,0,76,109,33,109
באקה-ג'ת,6000,17962,7880,7623,257,5049,2175,25,249,10
באר טוביה,155,550,429,426,3,0,220,34,146,0
באר יעקב,2530,5211,3184,3136,48,5,748,708,731,684
באר שבע,9000,144588,73722,72178,1544,305,16265,26427,15857,10767
בארות יצחק,450,392,252,249,3,1,26,163,28,3
בארותיים,697,490,342,333,9,0,122,38,140,4
בארי,399,736,542,537,5,1,409,13,84,0
בוסתן הגליל,559,357,246,245,1,0,112,45,65,8
