שם ישוב,סמל ישוב,בז''ב,מצביעים,כשרים,פסולים,Arabs,Left,Right,Center,Orthodox
אבו ג'ווייעד (שבט,967,1155,398,396,2,373,7,8,1,2
אבו גוש,472,3476,1553,1503,50,1221,52,35,155,13
אבו סנאן,473,7147,4203,4111,92,2820,375,459,292,132
אבו קורינאת (שבט),968,2114,531,518,13,420,24,8,35,10
אבו רובייעה (שבט),966,2530,497,475,22,391,18,12,6,15
אבו רוקייק (שבט),961,3393,678,654,24,602,8,7,2,5
אבטין,652,1340,695,691,4,650,7,8,5,7
אבטליון,1275,170,133,133,0,0,35,22,68,0
אביאל,679,430,335,335,0,1,45,111,142,10
אביבים,1115,314,205,204,1,0,70,68,4,61
אביגדור,819,533,405,403,2,2,126,89,171,3
אביחיל,175,884,675,671,4,1,254,123,253,4
אביטל,2052,374,263,261,2,0,24,197,21,17
אביעזר,1070,352,248,243,5,2,25,123,46,26
אבירים,1220,140,110,110,0,6,42,19,28,1
אבן יהודה,182,7508,5352,5319,33,18,1292,1556,2108,211
אבן מנחם,1081,240,181,176,5,0,111,33,11,20
אבן ספיר,783,447,296,294,2,2,55,150,55,21
אבן שמואל,400,329,264,264,0,0,4,184,3,72
אבני איתן,4011,283,203,201,2,0,2,188,2,5
אבני חפץ,3793,510,449,443,6,0,1,369,2,70
אבשלום,1311,143,93,89,4,1,3,73,5,2
אדורה,3759,155,103,103,0,0,3,67,28,4
אדירים,113,196,154,153,1,0,6,67,5,74
אדמית,1068,230,103,102,1,5,55,14,23,1
אדרת,1123,371,271,271,0,0,2,184,13,52
אודים,446,600,467,466,1,1,121,99,220,5
אודם,4010,84,58,58,0,0,3,18,27,0
אוהד,1046,222,154,153,1,2,42,61,41,6
אום אל-פחם,2710,24838,14660,14543,117,14258,79,27,31,43
אום אל-קוטוף,2024,499,298,295,3,259,32,3,1,0
אום בטין,1358,423,211,199,12,173,11,6,0,1
אומן,1108,262,148,147,1,0,4,102,23,14
אומץ,680,346,251,247,4,2,93,40,104,3
אופקים,31,17314,10177,10027,150,11,685,4806,915,3368
אור הגנוז,1294,153,100,100,0,0,1,15,0,84
אור הנר,67,407,283,281,2,2,106,32,133,1
אור יהודה,2400,24705,14234,13963,271,34,1458,6197,3168,2810
אור עקיבא,1020,13704,7036,6913,123,16,274,4553,1047,910
אורה,780,604,445,442,3,3,76,178,97,73
אורות,2012,347,244,244,0,0,83,38,112,3
אורטל,4013,177,122,121,1,0,23,49,42,1
אורים,403,411,247,246,1,4,115,21,81,2
אורנית,3760,4212,3164,3147,17,3,373,1566,1037,68
אושה,278,324,212,211,1,1,113,15,74,1
אזור,565,8438,5293,5206,87,8,729,2286,1651,413
אחווה,1157,182,146,145,1,0,47,26,63,6
אחוזם,821,339,242,239,3,0,5,161,17,55
אחוזת ברק,1330,896,682,678,4,1,127,269,256,12
אחיהוד,785,454,333,329,4,0,18,198,28,84
אחיטוב,850,600,403,402,1,0,80,145,152,20
אחיסמך,804,750,511,507,4,0,38,174,39,253
אחיעזר,797,883,677,676,1,0,4,301,16,352
אטרש (שבט),965,1228,159,150,9,104,14,4,5,7
איבים,338,136,18,18,0,0,0,13,4,1
אייל,716,314,245,243,2,2,122,22,87,1
איילת השחר,77,792,536,534,2,0,220,86,196,8
אילון,294,719,555,550,5,4,277,100,146,5
אילות,1126,262,147,146,1,1,74,22,45,2
אילניה,49,384,257,256,1,0,38,109,90,5
אילת,2600,44156,17841,17624,217,124,1803,7644,6246,1345
איתמר,3762,359,269,269,0,0,0,246,0,20
איתן,37,277,196,193,3,0,0,85,5,96
אכסאל,478,6755,2766,2718,48,2539,74,8,36,11
אל סייד,1359,187,64,62,2,29,12,1,2,17
אל-רום,4003,250,167,163,4,1,57,21,73,0
אלומה,1145,253,206,205,1,0,0,6,0,198
אלומות,330,224,137,137,0,0,74,17,41,1
אלון הגליל,1182,570,423,423,0,4,185,48,160,0
אלון מורה,3579,795,625,621,4,0,1,583,2,32
אלון שבות,3604,1761,1457,1445,12,1,8,1385,6,21
אלוני אבא,429,411,347,344,3,3,112,39,166,2
אלוני הבשן,4017,143,114,113,1,0,1,104,0,4
אלוני יצחק,868,116,22,22,0,0,8,7,6,0
אלונים,285,500,350,346,4,0,177,30,119,2
אלי-עד,4002,229,148,148,0,0,22,62,49,3
אליכין,41,2081,1467,1456,11,2,147,703,245,327
אליפלט,730,374,229,227,2,0,14,145,23,43
אליקים,682,486,349,345,4,0,10,107,30,187
אלישיב,204,387,305,299,6,0,13,131,74,73
אלישמע,841,655,451,445,6,0,49,175,128,79
אלמגור,1125,224,157,157,0,2,60,18,72,0
