שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
אבו ג'ווייעד (שבט,967,1610,313,7,306,250,47,4,1,2
אבו גוש,472,4178,2539,33,2506,2155,187,94,14,39
אבו סנאן,473,8363,5798,52,5746,3849,365,1222,41,216
אבו עבדון (שבט),958,119,37,1,36,36,0,0,0,0
אבו קורינאת (שבט),968,2685,759,7,752,587,91,16,25,11
אבו קרינאת (יישוב,1342,154,65,1,64,51,4,1,4,2
אבו רובייעה (שבט),966,3502,716,11,705,571,63,11,29,17
אבו רוקייק (שבט),961,4205,1271,10,1261,1157,61,14,2,9
אבטין,652,1632,807,15,792,711,57,14,3,5
אבטליון,1275,229,188,1,187,2,114,50,16,0
אביאל,679,505,414,1,413,0,194,154,58,1
אביבים,1115,336,230,2,228,0,6,173,1,44
אביגדור,819,569,475,0,475,0,288,95,80,7
אביחיל,175,949,735,3,732,1,451,139,128,4
אביטל,2052,379,290,2,288,0,17,229,5,16
אביעזר,1070,495,406,0,406,3,106,217,52,15
אבירים,1220,160,123,1,122,3,82,16,12,4
אבן יהודה,182,9206,7285,36,7249,11,3222,2375,1340,149
אבן מנחם,1081,266,199,1,198,0,28,113,19,33
אבן ספיר,783,504,379,0,379,0,86,248,17,14
אבן שמואל,400,586,522,3,519,0,8,363,2,25
אבני איתן,4011,366,285,0,285,0,4,217,4,1
אבני חפץ,3793,854,735,2,733,0,3,554,0,32
אבשלום,1311,205,142,4,138,0,22,95,9,2
אדורה,3759,220,176,0,176,0,25,118,10,1
אדירים,113,209,163,3,160,0,2,86,4,63
אדמית,1068,292,160,0,160,13,87,34,10,0
אדרת,1123,498,383,2,381,1,21,302,15,27
אודים,446,714,590,2,588,0,348,119,106,5
אודם,4010,102,80,0,80,0,34,25,16,0
אוהד,1046,243,187,1,186,2,67,85,21,5
אום אל-פחם,2710,30363,20471,150,20321,19747,456,44,17,15
אום אל-קוטוף,2024,626,520,1,519,478,32,1,1,5
אום בטין,1358,1231,595,6,589,496,38,36,4,3
אומן,1108,299,177,0,177,0,22,134,7,9
אומץ,680,457,351,0,351,0,209,66,69,2
אופקים,31,18915,12637,184,12453,16,719,6365,378,4258
אור הגנוז,1294,164,125,0,125,0,0,9,1,106
אור הנר,67,570,444,1,443,0,347,46,43,1
אור יהודה,2400,26366,18785,265,18520,11,2507,11056,1370,2986
אור עקיבא,1020,14611,9361,86,9275,20,642,6914,426,1035
אורה,780,799,614,8,606,0,154,316,63,33
אורות,2012,421,321,1,320,0,209,73,29,1
אורטל,4013,224,163,1,162,0,60,44,45,3
אורים,403,424,260,4,256,1,194,43,10,0
אורנית,3760,5690,4660,9,4651,1,1122,2305,1004,78
אושה,278,343,248,0,248,1,188,37,19,0
אזור,565,9238,6523,57,6466,2,1547,3328,794,583
אחווה,1157,179,145,0,145,0,68,37,34,5
אחוזם,821,368,270,1,269,0,6,199,3,28
אחוזת ברק,1330,1482,1167,3,1164,1,361,591,185,13
אחיהוד,785,553,449,3,446,0,9,349,11,40
אחיטוב,850,674,545,0,545,0,159,270,89,14
אחיסמך,804,843,673,5,668,0,27,440,13,171
אחיעזר,797,1021,857,9,848,0,5,441,5,339
אטרש (שבט),965,1650,457,7,450,266,23,65,1,77
איבים,338,196,77,2,75,1,5,56,2,4
אייל,716,364,298,2,296,0,231,30,27,1
איילת השחר,77,999,728,10,718,2,405,229,52,6
אילון,294,755,590,1,589,3,384,137,51,4
אילות,1126,266,166,1,165,2,110,27,22,1
אילניה,49,425,301,3,298,0,99,156,30,1
אילת,2600,47042,23064,235,22829,220,4352,13339,2471,1080
איתמר,3762,485,398,0,398,0,2,214,0,17
איתן,37,310,255,1,254,0,1,125,3,21
אכסאל,478,8279,5491,38,5453,5212,95,66,4,63
אל סייד,1359,369,167,0,167,112,25,11,3,9
אל-עריאן,1316,110,77,1,76,46,29,0,0,0
אל-רום,4003,296,207,2,205,0,131,35,24,0
אלומה,1145,305,270,0,270,1,0,9,0,243
אלומות,330,258,177,0,177,0,126,22,26,1
אלון הגליל,1182,702,553,0,553,0,442,55,53,0
אלון מורה,3579,904,751,0,751,1,2,513,4,8
אלון שבות,3604,2009,1663,4,1659,1,27,1495,14,13
אלוני אבא,429,611,502,0,502,0,342,66,86,4
אלוני הבשן,4017,184,156,0,156,0,1,139,2,0
אלוני יצחק,868,119,27,0,27,0,11,12,4,0
אלונים,285,517,408,5,403,0,290,50,55,0
אלי-עד,4002,260,181,0,181,1,67,59,31,1
אליכין,41,2459,1955,17,1938,1,306,1197,94,253
אליפלט,730,402,293,0,293,0,21,240,1,24
אליקים,682,563,432,1,431,0,28,295,13,71
אלישיב,204,467,388,1,387,0,65,269,18,23
אלישמע,841,789,626,8,618,0,128,373,40,63
אלמגור,1125,240,197,0,197,1,148,19,27,0
אלמוג,3556,145,105,1,104,0,59,27,16,0
אלעד,1309,17047,15105,228,14877,1,32,1499,12,11193
אלעזר,3618,1309,1108,1,1107,0,15,998,13,12
אלפי מנשה,3750,5366,4249,12,4237,2,957,2188,866,89
אלקוש,603,265,174,3,171,2,24,103,7,29
אלקנה,3560,2455,2100,6,2094,0,25,1852,25,28
אמונים,772,651,476,4,472,1,117,232,71,31
אמירים,1064,509,384,2,382,3,226,77,46,5
